端子索引,端子代号,末端端子,是否焊片
id,symbol,endpoint,isweld
1,XP.223,,
2,XS.224,,
3,XS.222,2,
4,XP.211,,
5,XP.212,,
6,XS.213,,
7,XS.214,,
8,XS.1F10,,
9,XS.1F11,,
10,XS.1F1,,
11,XS.1F3,1,
12,XS.1F4,,
13,XS.1F2,,
14,XB19,,1
